,id,followers,genres,name,popularity
107561,0Noavk1MOOy9Cok0w89C0T,0.0,[],Jeiru X Island Boy Vinci,0
861613,3AWZUcXehPxj60uGlOF5Dx,17.0,[],Chronogramm,1
182565,1m72bko7z6Gcez0q312XE0,2459.0,['british folk'],Robin Williamson,16
908841,7m3Bp7XrnbNc72xT3vvRKb,52.0,['chinese experimental'],Skyfish,0
147337,01LXNBlFkpVTwOW9NPhqf6,1.0,[],Musrap,0
1083825,1lhaaKpTyXOnjp79M3xYBl,12345.0,"['alternative americana', 'gothic americana', 'queer country']",Amythyst Kiah,43
1056011,789Cv8QTY7CoSvNttFaNcm,0.0,[],Marc Tian,0
1006595,39bL7Zg33PcM4gzJ6e7z9m,5.0,[],Sparky Parks,0
523772,6RGw2zxndlsMalSrVjZgBf,222.0,"['gaita', 'galician folk']",Banda de gaitas Xarabal,5
393346,6lYfRODWcQTTEM3R4Lt7cO,20.0,[],Ulrich Gumpert Workshop Band,0
627306,3TbkYMVppomvX43iitazry,28.0,['portuguese early music'],João Lourenço Rebelo,2
897089,6ecstlBUS8d9UdCrbN5ixG,118.0,[],P Martin,8
680258,7cNXE4BDOVhy5GQ5S14PV7,21.0,[],Casual Attire,0
240443,5PXa57bB4y0vrQqeZX7A2S,2693.0,"['australian techno', 'bass music', 'breaks', 'deep dubstep', 'experimental electronic', 'halftime dnb']",Pugilist,18
128172,00zpX84I3pdKWRLlqMeumZ,0.0,[],Trapline200,0
380383,1dEHs9WcZxWawY4vpRJgB5,10.0,[],Monga,9
721389,3lT0TOalHJWEpattf0Z9G4,206.0,[],Tussen Sterre,4
950954,1JENlQxwftFXDsutQOiBMj,23.0,[],Octuor de France,3
600173,3otthGt8ajfM0hdUOsw9vs,179.0,[],Jake Simmons & the Little Ghosts,2
534010,7CkajqTJEpYIRcSfqeUuMD,20.0,[],Sa-Yah,0
361664,4sCp3Te1CZw9gPhkNrpnrg,4.0,[],Garden Warbler,0
296856,6doqLSwWAZWP64ZnOuBGoS,15.0,[],Deejay OB,0
799387,1XwWFs9fp8jKs3mLvQAtVC,9.0,[],The Main Arcade,0
31642,3dVgOh29a3s6Ub9Sj2FGs4,1.0,[],埼玉栄高等学校,0
451628,5S0EaCdkAw6FrV0mwlfzRh,28.0,[],JOONIOR,1
546370,1caw7R4fXC6dO9Tk0SQRoi,2.0,[],Markers,0
963064,35OZc2skO92CusVt51uTqp,3.0,[],John Langis,0
792206,23yXoA1ZwhxaOJy8NXhK8D,113.0,['lithuanian indie'],DDL PLK,1
941803,5DVNYTu9GBLPQoVxSxG0yw,18.0,[],Operation ID,0
584784,3sKAgmZ09PPiAnMpVBrKtq,197.0,['colombian black metal'],Impaler Of Pest,1
397042,1B2p5JA4xHHVrs0dkCP5b6,63.0,[],Society's Ills,1
481296,6W8FHnqsF4XRexswCTqSrz,32.0,['deep sunset lounge'],Abstrait Voyager,2
552164,4zgr3m9ZRlfSm6zu9412tt,97.0,['new england americana'],Coyote Kolb,0
932725,7MQo05KpBayRxPm9hkTmXZ,2121.0,['norwegian black metal'],Posthum,6
346050,3uA5ZErqbMuEmagUOruCm5,6.0,[],Jacques Caramac,0
486938,6sh7lhVux4tvtAAvFRohli,8.0,[],Los ponchos de Jaiña,3
949285,2AcWqnxwm2fhqNSvaG3frG,6.0,[],Kilroy Was Here,0
711368,7gJc9WeezoP6wAsOTm3dh5,891.0,[],We Are Monroe,10
213522,6FVK4VUoKRnoiqal1H3Bpd,28.0,[],Bezalel,1
545377,2nw7lQSS4zOhvSy1buyHCZ,1377.0,['naija worship'],Paul Enenche,20
956975,4KJugAbNgA9ouPb6mak65Y,2.0,[],Aaron Bingle/Venom Space,0
656436,1H9hNI496CE8ExDiBzNfGT,57.0,[],J's Music,3
1009267,4KV8ACcPuT3Jyx9Bvh6OFs,18938.0,[],The Samples,39
158979,27JkiwKWhB0NRj4sMm0asS,1868.0,['musica popular paraense'],Oswaldo Bezerra,11
878275,7s4DA4JVszbSD05vw6ASCP,4.0,[],Eric Tompkins,0
1033600,6Cr7OLPDCZqJBeZ7rBYZBx,497.0,['spiritual hip hop'],7 G.E.M.S. (Tragic Allies & Tragedy Khadafi),6
319617,6qDDOhdKv4LfJT8kUctI9g,127.0,[],Josefine Lindstrand,6
592339,0HaGcfUQtP6hIZ2vxRrVvd,36.0,[],Tomates,1
985903,4wrHqj2ERP89t9cFLZkVne,3954.0,[],Changüí Majadero,2
279508,3PnFSPb0exNZw3n4UsHsMC,2039.0,"['big beat', 'breakbeat', 'nu skool breaks']",Splitloop,10
620690,6uezhA7jyBZRKsHW97uD4O,90.0,['kenyan hip hop'],Phinoshey,14
629906,0MEaPTlfGHyjyKfWCt1AB8,2.0,[],Louis & Diamond feat. Luciouz,0
805219,3sHLbXV1M2zGQ9p7MUwz6s,41.0,[],Milk It,0
961877,0WO2fBavpwPcrT6MZRgcsR,5.0,[],Michael Sanderson,1
4463,4nlkuVUlkYrNMORAQ42fav,13138.0,['brazilian soul'],Claudio Zoli,37
177677,2Xet304c3DqvwHSxVn3TVv,69.0,['bornesange'],Århus Teater,20
753167,3uqFBaH6u1UIsDDZEXw2t8,35.0,['disney italiano'],Daniele Giuliani,14
109728,2aRc20jIhrOWFTjAzHTuqD,670.0,[],Sylvester LeVay,36
453167,3A77q8dPFtPYfbuy7ZyBCg,156.0,[],Olatuja Project,2
609796,32mQyaI3eyrR8FJUUGrz3T,30.0,[],Jim Stefánsson,0
